_id,RegiUn,Tipo punto monitoreo,Sector,Semana,Fecha,Tipo producto,Producto,MInimo,M*ximo,Promedio
1,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Ajo Chino $/unidad 1a (guarda),125,150,"137,5"
2,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Ajo Chino $/unidad 1a (guarda),100,160,140
3,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Ajo Chino $/unidad 2a (guarda),100,100,100
4,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Apio Americano $/unidad Primera,800,800,800
5,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Apio Americano $/unidad Primera,800,900,850
6,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,BrÛcoli Sin Especificar $/unidad Primera,500,500,500
7,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,BrÛcoli Sin Especificar $/unidad Primera,500,600,"533,33"
8,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,BrÛcoli Sin Especificar $/unidad Segunda,400,400,400
9,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Cebolla Sin Especificar $/unidad 1a (guarda),200,250,225
10,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Cebolla Sin Especificar $/unidad 1a (guarda),250,250,250
11,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Cebolla Sin Especificar $/unidad 2a (guarda),200,300,250
12,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Choclo Americano $/unidad Primera,400,500,450
13,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Coliflor Sin Especificar $/unidad Primera,500,500,500
14,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Coliflor Sin Especificar $/unidad Primera,500,600,"533,33"
15,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Espinaca Sin Especificar $/kilo Primera,1200,1200,1200
16,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Kiwi Hayward $/kilo Primera,300,350,325
17,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Kiwi Hayward $/kilo Primera,300,600,"437,5"
18,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Lechuga Conconina $/unidad Primera,700,800,750
19,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Lechuga Conconina $/unidad Primera,700,800,750
20,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Lechuga Conconina $/unidad Segunda,500,500,500
21,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Lechuga Escarola $/unidad Primera,1000,1000,1000
22,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,LimÛn Sin Especificar $/kilo 1a amarillo,300,350,325
23,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,LimÛn Sin Especificar $/kilo 1a amarillo,500,500,500
24,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,LimÛn Sin Especificar $/kilo 2a amarillo,250,250,250
25,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Mandarina clemenuless $/kilo Primera,600,700,650
26,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Mandarina clemenuless $/kilo Primera,500,800,"666,67"
27,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Mandarina clemenuless $/kilo Segunda,400,500,450
28,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Manzana Fuji $/kilo Primera,300,350,325
29,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Manzana Granny Smith $/kilo Primera,250,300,275
30,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Manzana Granny Smith $/kilo Primera,500,500,500
31,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Manzana Royal Fuji $/kilo Primera,350,400,375
32,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Naranja Fukumoto $/kilo Primera,330,400,365
33,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Naranja Thompson $/kilo Primera,400,500,450
34,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Naranja Thompson $/kilo Primera,500,500,500
35,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Palta Hass $/kilo Primera,3000,3000,3000
36,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Palta Negra de La Cruz $/kilo Primera,1000,1000,1000
37,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Palta Negra de La Cruz $/kilo Primera,1400,1800,1600
38,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Palta Negra de La Cruz $/kilo Segunda,1000,1200,1100
39,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Papa Asterix $/kilo Primera,350,400,375
40,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Papa Asterix $/kilo Primera,500,500,500
41,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Papa Asterix $/kilo Segunda,330,330,330
42,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Pepino ensalada Sin Especificar $/unidad Primera,300,400,"366,67"
43,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Pepino ensalada Sin Especificar $/unidad Primera,400,400,400
44,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Pera Packam's Triumph $/kilo Primera,500,600,"533,33"
45,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Pera Packam's Triumph $/kilo Primera,500,600,550
46,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Pimiento Cuatro cascos verde $/unidad Primera,400,400,400
47,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Pl·tano Sin Especificar $/kilo Primera,350,350,350
48,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Pl·tano Sin Especificar $/kilo Primera,400,450,425
49,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Poroto verde Magnum $/kilo Primera,2000,2000,2000
50,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Poroto verde Magnum $/kilo Segunda,1500,1500,1500
51,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Repollo Crespo record $/unidad Primera,500,700,600
52,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Repollo Crespo record $/unidad Primera,600,700,650
53,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Tomate Larga Vida $/kilo Primera,800,1000,900
54,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Tomate Larga Vida $/kilo Primera,900,1000,950
55,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Tomate Larga Vida $/kilo Segunda,600,700,650
56,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Zanahoria Sin Especificar $/unidad Primera,50,55,"52,5"
57,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Zanahoria Sin Especificar $/unidad Segunda,40,45,"42,5"
58,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Zapallo Camote $/kilo 1a (cosecha),400,400,400
59,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Zapallo Camote $/kilo 1a (cosecha),400,500,450
60,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Zapallo Camote $/kilo 2a (cosecha),300,350,325
61,7,Feria libre,CuricÛ,28,08/07/2013,Fruta-Hortaliza,Zapallo italiano Sin Especificar $/unidad Primera,400,450,425
62,7,Feria libre,Talca,28,08/07/2013,Fruta-Hortaliza,Zapallo italiano Sin Especificar $/unidad Primera,500,500,500
63,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,Ajo Chino $/unidad 2a (guarda),100,100,100
64,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,BrÛcoli Sin Especificar $/unidad Primera,500,600,550
65,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,Cebolla Sin Especificar $/unidad 1a (guarda),200,250,225
66,7,Feria libre,CuricÛ,30,22/07/2013,Fruta-Hortaliza,Cebolla Sin Especificar $/unidad 1a (guarda),200,250,225
67,7,Feria libre,CuricÛ,30,22/07/2013,Fruta-Hortaliza,Cebolla Sin Especificar $/unidad 2a (guarda),130,150,140
68,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,Cebolla Sin Especificar $/unidad 2a (guarda),150,180,165
69,7,Feria libre,CuricÛ,30,22/07/2013,Fruta-Hortaliza,Choclo Americano $/unidad Primera,500,500,500
70,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,Coliflor Sin Especificar $/unidad Primera,500,600,550
71,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,Kiwi Hayward $/kilo Primera,300,350,325
72,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,Kiwi Hayward $/kilo Segunda,200,250,225
73,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,Lechuga Conconina $/unidad Primera,700,800,750
74,7,Feria libre,CuricÛ,30,22/07/2013,Fruta-Hortaliza,Lechuga Conconina $/unidad Segunda,400,500,450
75,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,Lechuga Escarola $/unidad Segunda,500,600,550
76,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,LimÛn Sin Especificar $/kilo 1a amarillo,250,300,275
77,7,Feria libre,CuricÛ,30,22/07/2013,Fruta-Hortaliza,LimÛn Sin Especificar $/kilo 1a amarillo,350,500,"416,67"
78,7,Feria libre,CuricÛ,30,22/07/2013,Fruta-Hortaliza,LimÛn Sin Especificar $/kilo 1a plateado,250,300,275
79,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,LimÛn Sin Especificar $/kilo 2a amarillo,100,150,125
80,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,Mandarina Clementina $/kilo Primera,500,600,550
81,7,Feria libre,CuricÛ,30,22/07/2013,Fruta-Hortaliza,Mandarina Clementina $/kilo Primera,500,800,"633,33"
82,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,Manzana Fuji $/kilo Primera,350,400,375
83,7,Feria libre,CuricÛ,30,22/07/2013,Fruta-Hortaliza,Manzana Fuji $/kilo Primera,500,500,500
84,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,Manzana Granny Smith $/kilo Primera,300,350,325
85,7,Feria libre,CuricÛ,30,22/07/2013,Fruta-Hortaliza,Manzana Granny Smith $/kilo Primera,500,500,500
86,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,Manzana Royal Fuji $/kilo Primera,300,350,325
