_id,RegiUn,Tipo punto monitoreo,Sector,Semana,Fecha,Tipo producto,Producto,MInimo,M*ximo,Promedio
1,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Abastero,3990,5998,"5029,64"
2,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Abastero,3498,4980,4491
3,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Asado Carnicero,3990,5500,"4790,64"
4,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Asado Carnicero,3498,4980,4441
5,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Asiento,4680,6998,"6243,6"
6,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Asiento,4298,6480,"5222,67"
7,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,"Carne de Pollo, Cerdo y Pavo",Cerdo Costillar,2980,3990,3611
8,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,"Carne de Pollo, Cerdo y Pavo",Cerdo Costillar,2290,3490,"3114,5"
9,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,"Carne de Pollo, Cerdo y Pavo",Cerdo Lomo,3200,3998,3599
10,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,"Carne de Pollo, Cerdo y Pavo",Cerdo Lomo,2290,5000,4090
11,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,"Carne de Pollo, Cerdo y Pavo",Cerdo Pulpa s/hueso,2980,3980,"3289,33"
12,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,"Carne de Pollo, Cerdo y Pavo",Cerdo Pulpa s/hueso,2898,3790,3287
13,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,"Carne de Pollo, Cerdo y Pavo",Chuleta (Parrillera),2598,3980,"3072,67"
14,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,"Carne de Pollo, Cerdo y Pavo",Chuleta (Parrillera),1990,2998,"2714,5"
15,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,"Carne de Pollo, Cerdo y Pavo",Chuleta (centro),2480,3980,3206
16,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,"Carne de Pollo, Cerdo y Pavo",Chuleta (centro),2290,3490,"3089,5"
17,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Filete,6000,8990,"7403,27"
18,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Filete,5598,8280,6511
19,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Huachalomo,3998,5500,"4872,6"
20,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Huachalomo,3298,4980,"4407,67"
21,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Lomo Liso,6190,8490,"7312,36"
22,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Lomo Liso,4998,7980,6361
23,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Lomo Vetado,6790,8490,"7457,82"
24,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Lomo Vetado,5800,7980,"6494,33"
25,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pavo Pechuga†s/hueso,3290,4298,3794
26,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pavo Trutro Corto,2388,2388,2388
27,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Entero,1598,2680,"1981,2"
28,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Entero,1480,1698,1589
29,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Pollo Ganso,4600,6000,"5419,64"
30,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Pollo Ganso,4698,6480,"5387,6"
31,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Pechuga,1790,2298,"2069,17"
32,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Pechuga,1880,1998,"1922,67"
33,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Trutro Entero,1498,2280,1859
34,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Trutro Entero,1248,1790,1476
35,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Posta Negra,4680,5998,5446
36,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Posta Negra,4498,5780,5026
37,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Posta Paleta,599,5980,"4927,91"
38,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Posta Paleta,3598,5780,"4859,33"
39,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Posta Rosada,4680,5998,5446
40,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Posta Rosada,4498,5780,"5111,6"
41,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Sobrecostilla,2980,5500,"4618,73"
42,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Sobrecostilla,3298,4980,"4524,33"
43,7,CarnicerÌa,Talca,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Tapapecho,3680,5500,"4443,27"
44,7,CarnicerÌa,CuricÛ,28,2013-08-07T00:00:00,Carne de Bovino CategorÌa V,Tapapecho,2998,4980,"4092,67"
45,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Abastero,3990,5998,"5071,6"
46,7,CarnicerÌa,CuricÛ,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Abastero,4198,4980,"4639,5"
47,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Asado Carnicero,3990,5500,"4818,73"
48,7,CarnicerÌa,CuricÛ,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Asado Carnicero,3898,4980,"4564,5"
49,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Asiento,5690,6998,"6345,6"
50,7,CarnicerÌa,CuricÛ,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Asiento,4798,5980,"5139,5"
51,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,"Carne de Pollo, Cerdo y Pavo",Cerdo Costillar,2990,3990,"3639,33"
52,7,CarnicerÌa,CuricÛ,30,2013-07-22T00:00:00,"Carne de Pollo, Cerdo y Pavo",Cerdo Costillar,2390,3198,2726
53,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,"Carne de Pollo, Cerdo y Pavo",Cerdo Lomo,3998,4590,4294
54,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,"Carne de Pollo, Cerdo y Pavo",Cerdo Pulpa s/hueso,2998,3980,"3441,5"
55,7,CarnicerÌa,CuricÛ,30,2013-07-22T00:00:00,"Carne de Pollo, Cerdo y Pavo",Cerdo Pulpa s/hueso,2898,3300,"3059,33"
56,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,"Carne de Pollo, Cerdo y Pavo",Chuleta (Parrillera),2480,2990,"2741,5"
57,7,CarnicerÌa,CuricÛ,30,2013-07-22T00:00:00,"Carne de Pollo, Cerdo y Pavo",Chuleta (Parrillera),1990,2998,"2359,33"
58,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,"Carne de Pollo, Cerdo y Pavo",Chuleta (centro),2980,3980,"3289,2"
59,7,CarnicerÌa,CuricÛ,30,2013-07-22T00:00:00,"Carne de Pollo, Cerdo y Pavo",Chuleta (centro),2480,3098,2756
60,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Filete,6980,8990,"7593,6"
61,7,CarnicerÌa,CuricÛ,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Filete,5800,7000,6297
62,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Huachalomo,3998,5500,"4854,18"
63,7,CarnicerÌa,CuricÛ,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Huachalomo,3898,4980,"4564,5"
64,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Lomo Liso,6500,8490,"7339,64"
65,7,CarnicerÌa,CuricÛ,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Lomo Liso,5800,7000,6247
66,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Lomo Vetado,6500,8490,"7430,55"
67,7,CarnicerÌa,CuricÛ,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Lomo Vetado,5800,7000,6247
68,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Entero,1598,1898,"1748,67"
69,7,CarnicerÌa,CuricÛ,30,2013-07-22T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Entero,1798,1798,1798
70,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Pollo Ganso,4790,6000,"5511,45"
71,7,CarnicerÌa,CuricÛ,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Pollo Ganso,4698,5500,"4994,5"
72,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Pechuga,1790,2298,"2069,17"
73,7,CarnicerÌa,CuricÛ,30,2013-07-22T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Pechuga,1890,1998,1944
74,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Trutro Entero,1580,2280,"1969,2"
75,7,CarnicerÌa,CuricÛ,30,2013-07-22T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Trutro Entero,1390,1898,1644
76,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Posta Negra,4890,6000,"5547,82"
77,7,CarnicerÌa,CuricÛ,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Posta Negra,4498,5500,"4944,5"
78,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Posta Paleta,4890,6000,"5475,09"
79,7,CarnicerÌa,CuricÛ,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Posta Paleta,4498,5000,"4819,5"
80,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Posta Rosada,4890,6000,"5546,91"
81,7,CarnicerÌa,CuricÛ,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Posta Rosada,4498,5500,"4944,5"
82,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Sobrecostilla,3998,5500,"4844,18"
83,7,CarnicerÌa,CuricÛ,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Sobrecostilla,4400,4980,"4739,5"
84,7,CarnicerÌa,Talca,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Tapapecho,3680,5500,"4479,64"
85,7,CarnicerÌa,CuricÛ,30,2013-07-22T00:00:00,Carne de Bovino CategorÌa V,Tapapecho,3698,4980,"4394,5"
86,7,CarnicerÌa,Talca,31,2013-07-29T00:00:00,Carne de Bovino CategorÌa V,Abastero,4790,5998,"5237,33"
87,7,CarnicerÌa,Talca,31,2013-07-29T00:00:00,Carne de Bovino CategorÌa V,Asado Carnicero,3998,5500,"4930,6"
88,7,CarnicerÌa,Talca,31,2013-07-29T00:00:00,Carne de Bovino CategorÌa V,Asiento,5690,6990,"6433,5"
89,7,CarnicerÌa,Talca,31,2013-07-29T00:00:00,"Carne de Pollo, Cerdo y Pavo",Cerdo Costillar,2999,3990,"3440,83"
90,7,CarnicerÌa,Talca,31,2013-07-29T00:00:00,"Carne de Pollo, Cerdo y Pavo",Cerdo Lomo,3998,4590,4294
91,7,CarnicerÌa,Talca,31,2013-07-29T00:00:00,"Carne de Pollo, Cerdo y Pavo",Cerdo Pulpa s/hueso,2398,3980,3156
92,7,CarnicerÌa,Talca,31,2013-07-29T00:00:00,"Carne de Pollo, Cerdo y Pavo",Chuleta (Parrillera),2480,2990,"2789,2"
93,7,CarnicerÌa,Talca,31,2013-07-29T00:00:00,"Carne de Pollo, Cerdo y Pavo",Chuleta (centro),2900,3498,3094
94,7,CarnicerÌa,Talca,31,2013-07-29T00:00:00,Carne de Bovino CategorÌa V,Filete,6980,8990,"7727,33"
95,7,CarnicerÌa,Talca,31,2013-07-29T00:00:00,Carne de Bovino CategorÌa V,Huachalomo,3998,5500,"4915,11"
96,7,CarnicerÌa,Talca,31,2013-07-29T00:00:00,Carne de Bovino CategorÌa V,Lomo Liso,6490,8490,"7542,6"
