id_time,id_city,id_product,spot,min,max,average,_id
1,1,1,Feria libre,125,150,137.5,1
1,2,1,Feria libre,100,160,140.0,2
1,1,1,Feria libre,100,100,100.0,3
1,1,2,Feria libre,800,800,800.0,4
1,2,2,Feria libre,800,900,850.0,5
1,1,3,Feria libre,500,500,500.0,6
1,2,3,Feria libre,500,600,533.33,7
1,1,3,Feria libre,400,400,400.0,8
1,1,4,Feria libre,200,250,225.0,9
1,2,4,Feria libre,250,250,250.0,10
1,2,4,Feria libre,200,300,250.0,11
1,1,5,Feria libre,400,500,450.0,12
1,1,6,Feria libre,500,500,500.0,13
1,2,6,Feria libre,500,600,533.33,14
1,1,7,Feria libre,1200,1200,1200.0,15
1,1,8,Feria libre,300,350,325.0,16
1,2,8,Feria libre,300,600,437.5,17
1,1,9,Feria libre,700,800,750.0,18
1,2,9,Feria libre,700,800,750.0,19
1,1,9,Feria libre,500,500,500.0,20
1,2,10,Feria libre,1000,1000,1000.0,21
1,1,11,Feria libre,300,350,325.0,22
1,2,11,Feria libre,500,500,500.0,23
1,1,11,Feria libre,250,250,250.0,24
1,1,12,Feria libre,600,700,650.0,25
1,2,12,Feria libre,500,800,666.67,26
1,1,12,Feria libre,400,500,450.0,27
1,1,13,Feria libre,300,350,325.0,28
1,1,14,Feria libre,250,300,275.0,29
1,2,14,Feria libre,500,500,500.0,30
1,1,15,Feria libre,350,400,375.0,31
1,2,16,Feria libre,330,400,365.0,32
1,1,17,Feria libre,400,500,450.0,33
1,2,17,Feria libre,500,500,500.0,34
1,1,18,Feria libre,3000,3000,3000.0,35
1,2,19,Feria libre,1000,1000,1000.0,36
1,1,19,Feria libre,1400,1800,1600.0,37
1,1,19,Feria libre,1000,1200,1100.0,38
1,1,20,Feria libre,350,400,375.0,39
1,2,20,Feria libre,500,500,500.0,40
1,1,20,Feria libre,330,330,330.0,41
1,2,21,Feria libre,300,400,366.67,42
1,1,21,Feria libre,400,400,400.0,43
1,2,22,Feria libre,500,600,533.33,44
1,1,22,Feria libre,500,600,550.0,45
1,2,23,Feria libre,400,400,400.0,46
1,2,24,Feria libre,350,350,350.0,47
1,1,24,Feria libre,400,450,425.0,48
1,2,25,Feria libre,2000,2000,2000.0,49
1,1,25,Feria libre,1500,1500,1500.0,50
1,2,26,Feria libre,500,700,600.0,51
1,1,26,Feria libre,600,700,650.0,52
1,2,27,Feria libre,800,1000,900.0,53
1,1,27,Feria libre,900,1000,950.0,54
1,1,27,Feria libre,600,700,650.0,55
1,1,28,Feria libre,50,55,52.5,56
1,1,28,Feria libre,40,45,42.5,57
1,2,29,Feria libre,400,400,400.0,58
1,1,29,Feria libre,400,500,450.0,59
1,1,29,Feria libre,300,350,325.0,60
1,2,30,Feria libre,400,450,425.0,61
1,1,30,Feria libre,500,500,500.0,62
2,1,1,Feria libre,100,100,100.0,63
2,1,3,Feria libre,500,600,550.0,64
2,1,4,Feria libre,200,250,225.0,65
2,2,4,Feria libre,200,250,225.0,66
2,2,4,Feria libre,130,150,140.0,67
2,1,4,Feria libre,150,180,165.0,68
2,2,5,Feria libre,500,500,500.0,69
2,1,6,Feria libre,500,600,550.0,70
2,1,8,Feria libre,300,350,325.0,71
2,1,8,Feria libre,200,250,225.0,72
2,1,9,Feria libre,700,800,750.0,73
2,2,9,Feria libre,400,500,450.0,74
2,1,10,Feria libre,500,600,550.0,75
2,1,11,Feria libre,250,300,275.0,76
2,2,11,Feria libre,350,500,416.67,77
2,2,11,Feria libre,250,300,275.0,78
2,1,11,Feria libre,100,150,125.0,79
2,1,31,Feria libre,500,600,550.0,80
2,2,31,Feria libre,500,800,633.33,81
2,1,13,Feria libre,350,400,375.0,82
2,2,13,Feria libre,500,500,500.0,83
2,1,14,Feria libre,300,350,325.0,84
2,2,14,Feria libre,500,500,500.0,85
2,1,15,Feria libre,300,350,325.0,86
2,2,16,Feria libre,400,500,450.0,87
2,1,16,Feria libre,200,250,225.0,88
2,1,17,Feria libre,350,400,375.0,89
2,2,18,Feria libre,1000,1500,1233.33,90
2,1,19,Feria libre,1200,1400,1300.0,91
2,1,19,Feria libre,900,1000,950.0,92
2,2,19,Feria libre,1000,1200,1100.0,93
2,1,32,Feria libre,330,350,340.0,94
2,2,32,Feria libre,400,400,400.0,95
2,1,21,Feria libre,350,400,375.0,96
2,1,22,Feria libre,500,600,550.0,97
