day,month,year,date,id
8,7,2013,2013-07-08,1
22,7,2013,2013-07-22,2
29,7,2013,2013-07-29,3
5,8,2013,2013-08-05,4
19,8,2013,2013-08-19,5
26,8,2013,2013-08-26,6
2,9,2013,2013-09-02,7
9,9,2013,2013-09-09,8
16,9,2013,2013-09-16,9
23,9,2013,2013-09-23,10
1,7,2013,2013-07-01,11
12,8,2013,2013-08-12,12
31,12,2012,2012-12-31,13
7,1,2013,2013-01-07,14
14,1,2013,2013-01-14,15
21,1,2013,2013-01-21,16
28,1,2013,2013-01-28,17
4,2,2013,2013-02-04,18
11,2,2013,2013-02-11,19
18,2,2013,2013-02-18,20
25,2,2013,2013-02-25,21
4,3,2013,2013-03-04,22
11,3,2013,2013-03-11,23
18,3,2013,2013-03-18,24
25,3,2013,2013-03-25,25
1,4,2013,2013-04-01,26
8,4,2013,2013-04-08,27
15,4,2013,2013-04-15,28
22,4,2013,2013-04-22,29
29,4,2013,2013-04-29,30
6,5,2013,2013-05-06,31
13,5,2013,2013-05-13,32
20,5,2013,2013-05-20,33
27,5,2013,2013-05-27,34
3,6,2013,2013-06-03,35
10,6,2013,2013-06-10,36
17,6,2013,2013-06-17,37
24,6,2013,2013-06-24,38
15,7,2013,2013-07-15,39
