day,month,year,date,week,id
8,7,2013,2013-07-08,28,1
22,7,2013,2013-07-22,30,2
29,7,2013,2013-07-29,31,3
5,8,2013,2013-08-05,32,4
19,8,2013,2013-08-19,34,5
26,8,2013,2013-08-26,35,6
2,9,2013,2013-09-02,36,7
9,9,2013,2013-09-09,37,8
16,9,2013,2013-09-16,38,9
23,9,2013,2013-09-23,39,10
1,7,2013,2013-07-01,27,11
12,8,2013,2013-08-12,33,12
31,12,2012,2012-12-31,1,13
7,1,2013,2013-01-07,2,14
14,1,2013,2013-01-14,3,15
21,1,2013,2013-01-21,4,16
28,1,2013,2013-01-28,5,17
4,2,2013,2013-02-04,6,18
11,2,2013,2013-02-11,7,19
18,2,2013,2013-02-18,8,20
25,2,2013,2013-02-25,9,21
4,3,2013,2013-03-04,10,22
11,3,2013,2013-03-11,11,23
18,3,2013,2013-03-18,12,24
25,3,2013,2013-03-25,13,25
1,4,2013,2013-04-01,14,26
8,4,2013,2013-04-08,15,27
15,4,2013,2013-04-15,16,28
22,4,2013,2013-04-22,17,29
29,4,2013,2013-04-29,18,30
6,5,2013,2013-05-06,19,31
13,5,2013,2013-05-13,20,32
20,5,2013,2013-05-20,21,33
27,5,2013,2013-05-27,22,34
3,6,2013,2013-06-03,23,35
10,6,2013,2013-06-10,24,36
17,6,2013,2013-06-17,25,37
24,6,2013,2013-06-24,26,38
15,7,2013,2013-07-15,29,39
7,8,2013,2013-08-07,28,40
8,5,2013,2013-05-08,32,41
9,2,2013,2013-02-09,36,42
8,12,2013,2013-12-08,33,43
